SR_NO,sentence_list,np_list,vp_list,ner_rich,label
61,In conclusion there is no one algorithm that can fit or solve all problems,4,0,0,TRAIN
62,Success really depends on the problem you need to solve and the data you have available,2,2,1,TRAIN
63,Sometimes a problem will need a hybrid approach where you use multiple algorithms to solve the problem,3,2,1,TRAIN
64,Each problem requires extensive investigation of what constitutes a best fit type of algorithm,4,2,1,TRAIN
65,You should take into account transparency and how much data capabilities and time you have because some algorithms take a long time to run,5,1,1,TRAIN
66,Input layer Hidden layer 1 Hidden layer 2 Hidden layer 3 Output layer IBM Services 5 How does an AI system learn,3,2,1,TRAIN
67,To illustrate how AI system learning works we’ll next describe what a data scientist does and what a machine does in the process of developing AI solutions,6,2,1,TRAIN
68,Later when we discuss the pitfalls of implementing AI we’ll explain what types of skills you’ll need to successfully build a data science team,2,6,1,TRAIN
69,Data scientist The data scientist extracts knowledge and interprets data by using the right tools and statistical methods6,2,2,1,TRAIN
70,The data scientist first helps identify data analytics problems,1,2,1,TRAIN
71,Next he or she defines defines the right algorithm and tools,0,1,0,TRAIN
72,He or she cleans the data and collects the correct data for the problem,2,1,1,TRAIN
73,The next step is to define hyperparameters and engineer the features in a way that it fits the model,4,2,1,TRAIN
74,After the model provides output the data scientist analyzes and identifies patterns and trends,3,1,1,TRAIN
75,Then the data scientist communicates the results to the stakeholders,1,0,0,TRAIN
76,Machine The machine learns to recognize patterns in the data that it is fed to it and then maps these patterns to future outcomes,2,3,1,TRAIN
77,The machine learns through adjusting the weights and biases in the network from feedback to get to the correct outcome,5,2,1,TRAIN
78,This feedback must come from a trainer—the data scientist,3,1,1,TRAIN
79,The data scientist tells the model what should happen and what shouldn’t happen,2,1,1,TRAIN
80,This correction is then sent back through the network and an error rate is computed,4,2,1,TRAIN
81,With each iteration the model works to decrease the error rate,4,1,1,TRAIN
82,In the appendix section of this paper we have a section that addresses the different types of algorithms’ learning,5,1,1,TRAIN
83,There are four main types of learning supervised unsupervised transferred and reinforcement learning,2,2,1,TRAIN
84,While unsupervised reinforcement and transfer learning show great potential supervised learning is currently the type that can provide the highest economic value,2,3,1,TRAIN
85,What has driven the development of AI,1,1,1,TRAIN
86,With increasing computing power and more data the potential value of algorithms became higher,3,2,1,TRAIN
87,People and companies saw possibilities to embed these smart systems into their companies to drive strategy and innovation,2,3,1,TRAIN
88,As the power of algorithms computing and amounts of data increased companies started to see an increasing amount of use cases,4,3,1,TRAIN
89,AI started to become an essential value,1,1,1,TRAIN
90,Companies saw that these systems could move them closer to their customers drive efficiency enhance employee experience and capability automatize tasks decrease costs and improve revenue,6,5,1,TRAIN
91,But AI went through some lulls and spikes before it became capable of enabling so many benefits,0,3,0,TRAIN
92,At a certain point the general public gave up on AI and machine learning as a whole which stalled developments and investments,2,2,1,TRAIN
93,For instance when Defense Advanced Research Projects Agency DARPA worked together with Carnegie Mellon to implement speech recognition for their pilots they cut the project in 1974 after having spent millions of dollars on it,6,2,1,TRAIN
94,From the 1960s to 1974 the main funding for AI came from governments,1,1,1,TRAIN
95,But after 1974 there was barely any government funding because 6 Beyond the hype A guide to understanding and successfully implementing artificial intelligence within your business of multiple failed AI projects so the belief in the feasibility of AI declined,7,5,1,TRAIN
96,But after this period improvements in efficiency lead to successful business cases once again proving value,3,2,1,TRAIN
97,Today we now see AI as one of the big value drivers for companies and to compete most companies must adopt AI strategies,2,2,1,TRAIN
98,Three topics have made AI available for many companies right now — The evolution of data A factor contributing to the massive adoption of AI is the exponential growth of available data,4,2,1,TRAIN
99,With the introduction of the Internet social media proliferation of sensors and smart devices and the fact that data storage became cheaper it became more accessible than ever before,4,1,1,TRAIN
100,— The evolution of algorithms Algorithms have been around since we could write,2,1,1,TRAIN
101,Recently the development of more advanced algorithms has helped AI become more powerful and efficient,1,3,1,TRAIN
102,— The evolution of computing Another major factor in AI’s current success is its computing power,5,1,1,TRAIN
103,Back when AI was just beginning to be developed the computing power was minimal,3,2,1,TRAIN
104,Computers nowadays can take much more data and heavier algorithms than in the 1950s,0,1,0,TRAIN
105,These developments would not have taken place without significant investments and proven business value,3,1,1,TRAIN
106,Figure 3 AI timeline 7 ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● Turing publishes the Turing test,1,2,1,TRAIN
107,“The point at which a machine has answers like a human” AI first named by John McCarthy “First” AI algorithm Logic Theorist by Simon and Newell Rosenblatt invents the first self learning algorithm with the perceptron IBM 305 the first hard drive 5 MB Backpropagation one of the most important areas of a neural network is proposed IBM 1330 100MB Intel produces second generation general purpose chips First AI winter the belief in machine learning and AI had dropped after multiple unsuccessful experiments combined with insufficient computing power network capabilities and database capacity IBM 0665 hard drive 40 MB,13,10,1,TRAIN
108,But much smaller than the 1330 First convolutional neural network developed used a lot in image recognition The internet is open for the public First versions of natural language solutions set up,3,2,1,TRAIN
109,IBM’s deep blue defeats Kasparov in Chess Google’s Page rank is published The adoption of Internet by the masses Amazon brings cloud computing to the masses Google develops an algorithm that can handle large amounts of data faster,4,5,1,TRAIN
110,Stanford Robot drives automatically IBM introduces Watson,0,1,0,TRAIN
111,A question answering machine that later wins from a Jeopardy champion Worldwide IP traffic exceeds 20 exabytes 20 billion gigabytes per month Facebook gets a billion users There are more mobile devices than humans in the world Project debater of IBM shows ability to process very large data sets including millions of news articles across dozens of subjects and then turn snippets of arguments into full flowing prose—a challenging task for a computer 1950 1955 1956 1957 1958 1969 1970 1974 1974 1980 1985 1989 1991 1992 1997 1998 2000 2002 2004 2005 2006 2010 2012 2014 2018 IBM Services 7 Where are we today with AI,14,9,1,TRAIN
112,We can split the term AI into three categories general broad and narrow,2,0,0,TRAIN
113,General AI encompasses all the human like capabilities whereas narrow AI can only do a certain task—and it can do it quite well—but narrow AI can’t transfer its knowledge to different sorts of problems,4,2,1,TRAIN
114,Narrow AI Narrow AI is focused on addressing very focused tasks such as buying a book with a voice based device based on “common knowledge ” That’s the reason narrow AI is scaling very quickly in the consumer world where there are a lot of common tasks and data to train these systems,5,3,1,TRAIN
115,Narrow or weak AI is contrary to the naming very powerful at routine jobs,1,0,0,TRAIN
116,Figure 4 The three categories of AI,1,0,0,TRAIN
117,Narrow 2010 2015 Broad AI for Enterprise We are here General AI 2050 and beyond Broad AI What we see today in self driving cars is still defined as narrow AI,1,3,1,TRAIN
118,You can see it as a collection of narrow AI systems that make decisions,1,2,1,TRAIN
119,This is what we call broad AI,1,0,0,TRAIN
120,Another example of broad AI includes a system within a bank that analyzes the balance sheet of corporate customers to recommend the best currency hedging strategy,7,3,1,TRAIN
121,Another example would be a system that supports engineers who work on complex maintenance tasks on a platform in the middle of the Atlantic Ocean,3,3,1,TRAIN
122,Broad AI is about integrating AI within a specific business process of an enterprise where you need business and enterprise specific knowledge and data to train this type of system,5,3,1,TRAIN
123,These tasks are very different from the narrow AI used in the consumer world because the data and knowledge available in the enterprise are much more limited in terms of volumes very industry specific and in most of the cases private for example owned by an enterprise,4,1,1,TRAIN
124,This is what we believe is currently the most valuable type of AI currently for the enterprise,1,1,1,TRAIN
125,General AI General AI is far from reaching its potential,0,1,0,TRAIN
126,The expectations are that it will take at least another couple of decades,1,1,1,TRAIN
127,General AI refers to machines that can perform any intellectual task a human can,2,1,1,TRAIN
128,Currently AI does not have the ability to think abstractly strategize and use previous experiences to come up with new creative ideas as humans do,1,3,1,TRAIN
129,Some people think we will have general AI in a couple of decades others like IBM’s Rob High and Google’s Peter Norvig believe we don’t need broad AI at all 8 8 Beyond the hype A guide to understanding and successfully implementing artificial intelligence within your business What are the areas in which AI provides the most value today,8,6,1,TRAIN
130,While relevant AI use cases span various areas across virtually every industry there are three main macro domains that continue to drive the adoption as well as the most economies across businesses,4,3,1,TRAIN
131,They are — Cognitive engagement Involves how to deliver new ways for humans to engage with machines moving from pure digital experiences such as the ability to run transactions digitally into human like natural conversations,2,4,1,TRAIN
132,— Cognitive insights and knowledge Addresses how to augment humans who are overwhelmed with information and knowledge,2,1,1,TRAIN
133,— Cognitive automation Relates to how to move from process automation to mimicking human intelligence to facilitate complex and knowledge intense business decisions,7,2,1,TRAIN
134,What are some examples of successful implementations,0,0,0,TRAIN
135,There’s a vast amount of problems AI is already addressing to deliver business value across the three macro domains described in the previous section,6,2,1,TRAIN
136,We want to explain a couple of use cases our IBM team has successfully completed to demonstrate where AI can bring value,8,1,1,TRAIN
137,Manufacturer engine anomaly detection using a neural network Using the many different available sensor measurements from large truck engines a neural network was trained to recognize normal and abnormal engine behavior,9,4,1,TRAIN
138,In the huge high dimensional many variables dataset the neural network learned the natural correlations and relationships between all different readings,2,3,1,TRAIN
139,The resulting model was able to predict “normal” values given certain operating conditions and could thus also be used to detect when specific measurements were out of the ordinary,3,3,1,TRAIN
140,Anomalous sensor readings are highly predictive of pending engine failures,2,1,1,TRAIN
141,Car manufacturer predictive failure detection for welding robots and predictive maintenance assessment Through supervised learning techniques predictive models were developed that could provide an early warning of failure based on the different system messages and sensor readings that continuously stream from the production line,11,6,1,TRAIN
142,This early warning could be used to prioritize maintenance and reduce both downtime as well as false positives and needless efforts,3,3,1,TRAIN
143,Working through this first proof of value the data scientists uncovered many data quality challenges that could be worked around to realize more value,3,4,1,TRAIN
144,Figure 5 The most valuable AI implementations,1,0,0,TRAIN
145,Designing and delivering new customer engagement Cognitive engagement Elevating and scaling knowledge and expertise Cognitive insights knowledge Designing and delivering agility and operational efficiency Cognitive automation IBM Services 9 Utility company micro grid energy forecasting and production mix optimization The output of machine learning based predictive models with prescriptive mathematical optimization models to prescribe the optimal mix of power production sources to meet predicted demand and to minimize costs,19,7,1,TRAIN
146,This required both the prediction of demand as well as prediction of available solar and wind energy capacity,5,1,1,TRAIN
147,Material producer insights dashboard IBM worked with the client’s sourcing experts to understand the business dynamics and create inventory of possibly relevant data sources,6,5,1,TRAIN
148,Several machine learning models were then trained to learn the price behavior and forecast future price development,6,2,1,TRAIN
149,The models also enabled buyers to evaluate their own “what if” scenarios,0,2,0,TRAIN
150,This was further supplemented with IBM® Watson Discovery News service which identified the most relevant news articles related to the material of interest,3,3,1,TRAIN
151,This all came together for the user in an interactive dashboard to consume the insights and interact with the data and models to make buying decisions,3,2,1,TRAIN
152,Best practices to successfully implement AI within an organization Let’s discuss what you need to do before implementing AI,1,2,1,TRAIN
153,Currently many companies are scrambling to implement AI within their environments because they believe it will keep them ahead of the game—which if thought through is the case,1,4,1,TRAIN
154,But here are a few steps you need to take,0,2,0,TRAIN
155,We’ve defined three main steps to implement AI in your company,2,1,1,TRAIN
156,These steps are — Develop an AI strategy and roadmap — Establish AI capabilities and skills — Start small and scale quickly Develop an AI strategy and roadmap First it’s important to understand AI and to research what it can and can’t do for your organization,7,1,1,TRAIN
157,You can get more familiar with AI by collaborating with a data scientist because it’s important that the C level has a good understanding of AI and its implementation difficulties before they define where and how to implement,5,2,1,TRAIN
158,What often happens if AI is not holistically understood the overall project won’t provide value,2,2,1,TRAIN
159,Once AI is understood the next question you should ask yourself is “What specific problem do I want to solve or what opportunity do I want to take ” Is your company looking to drive efficiency in the back office differentiate its digital proposition generate new revenue streams by leveraging customers’ insights or even reinvent its entire business,14,8,1,TRAIN
160,10 Beyond the hype A guide to understanding and successfully implementing artificial intelligence within your business After having thought this through you’ll probably have many different use cases,6,2,1,TRAIN
161,At this point it’s critical to prioritize these cases into a transformation roadmap that covers both a long term vision as well as concrete feasible quick wins,5,1,1,TRAIN
162,Next you should think about what data you have available,0,1,0,TRAIN
163,To solve most of the problems with AI you need to have relevant data,0,2,0,TRAIN
164,Without data AI will not provide any value,1,0,0,TRAIN
165,For many companies it’s a task in and of itself to keep track of the type of data—as well as where it’s stored and in what way,4,2,1,TRAIN
166,Often the first step will be to understand the data you currently have and the type you need to implement your AI case,2,2,1,TRAIN
167,Establish AI capabilities and skills AI requires a completely new set of capabilities and skills which may be in short supply in your organization,2,4,1,TRAIN
168,To build the required in house AI skills it’s important to plan establish and grow a dedicated Center of Competence or leverage the IBM Garage concept to perform in partnership,8,3,1,TRAIN
169,Not only this dedicated team is important but you also need to assure the right mindset and way of working in the rest of the organization,5,3,1,TRAIN
170,It’s critical that these functions occur in conjunction with developing and integrating an AI platform within your current IT architecture to implement and scale AI,5,2,1,TRAIN
171,Start small and scale quickly — Start with minimal valuable products MVPs In this phase you want to bring in experts to help quickly develop solutions to your business problems,4,3,1,TRAIN
172,This can only be done once the before mentioned steps are completed and the business is ready organizationally and technologically,1,2,1,TRAIN
173,This also means that the experts you bring in should be both business and technologically savvy,1,2,1,TRAIN
174,A good duration for a MVP is normally between two and three months,1,0,0,TRAIN
175,Our experience shows that starting with large scale complex and very long AI implementation projects normally lead to failure,3,1,1,TRAIN
176,— Set understandable key performance indicators KPIs To make sure that a project will succeed you need to define KPIs that are understandable for your business— including employees and other stakeholders,4,4,1,TRAIN
177,These KPIs will help you evaluate whether a project is successful,2,1,1,TRAIN
178,In general we suggest taking a second look at these KPIs after an appropriate duration to decide whether the project is successful or if you should discontinue it,4,1,1,TRAIN
179,If your business can’t pinpoint the right KPIs to measure success the project is too complex,6,1,1,TRAIN
180,— Roll out through company culture Once agreement is reached about which projects would be worth working on it’s time to implement the MVP within your company,4,2,1,TRAIN
181,It’s important that the way you implement it is looked at from both the business and the technical side,4,1,1,TRAIN
182,IBM Services 11 Pitfalls of AI implementation With the experience of implementing many of these cases we normally see a couple of problems organizations have when implementing AI,2,3,1,TRAIN
183,We’ve listed them because we feel it’s important to know what you should consider when implementing AI,1,2,1,TRAIN
184,Culture Pitfalls Looking at the advances we’ve made over the last decade gathering data is easy,2,3,1,TRAIN
185,But it’s what’s done with the data that provides the most value,2,2,1,TRAIN
186,The biggest pitfall we often encounter is a culture that’s not committed to making data driven decisions,3,1,1,TRAIN
187,Examples are cultures that can’t innovate in an agile fashion or can’t leave room for trial and error as are cultures that have traditionally been unwilling to transform a process,6,3,1,TRAIN
188,This reluctance usually has to do with fear of job loss skepticism or a knowledge gap,6,0,0,TRAIN
189,It’s a challenge to get your organization ready to embrace a data driven culture and for many of your employees it can feel like a counter intuitive process,7,2,1,TRAIN
190,Recommendation Digital change management training and preparation for the shift in thinking is required,6,2,1,TRAIN
191,You should start with small wins that are visible for relevant departments,0,1,0,TRAIN
192,The business users should be your starting point for agile development and in your design thinking process,6,2,1,TRAIN
193,All the results that come out of the project should be measurable this way you can easily show your wins,2,2,1,TRAIN
194,Then for a data driven culture to take hold the whole organization must embrace it,4,1,1,TRAIN
195,The message must be clear for all employees “Decision are made based on data ” Building trust within the company Pitfalls This step is often overlooked but when you want to implement AI you need get project stakeholders involved and on board,10,5,1,TRAIN
196,In Design Thinking IBM starts with the business and its users,1,1,1,TRAIN
197,A data scientist will require domain knowledge and access to data and the stakeholders should accommodate this need to help to speed up the process,6,4,1,TRAIN
198,Also consider the need for AI education and devote time to considering the right user interface,6,1,1,TRAIN
199,Recommendation Use a form of change management to establish user adoption,5,1,1,TRAIN
200,IBM’s best practice is to leverage its digital change approach to involve the users in the development of the project through studio’s in which we envision and co create together,10,0,0,TRAIN
201,AI is not something everyone will be able to grasp immediately,3,0,0,TRAIN
202,Working with AI should therefore be carefully implemented in the business environment,2,2,1,TRAIN
203,Expectation management Pitfalls In many cases we work on we see that employees or other stakeholders don’t believe in AI or think it’s a magical box we take from our office that will quickly solve all the problems a company,3,7,1,TRAIN
204,This leads to disappointment when an AI project is not delivered in a short timeframe or if it doesn’t deliver the expected results,3,2,1,TRAIN
205,And this disappointment can lead to a lack of belief that will eventually diminish the will to implement AI and experience the benefits of its long term possibilities,5,0,0,TRAIN
206,Recommendation Start with developing a solid strategy and roadmap,3,1,1,TRAIN
207,Define where you need to go and what you need to add to the organization to get there,2,2,1,TRAIN
208,First steps often include mundane items such as data governance and warehousing but you need to take these steps to properly implement AI,2,3,1,TRAIN
209,It’s therefore important to implement proper change management to guide the company,6,0,0,TRAIN
210,12 Beyond the hype A guide to understanding and successfully implementing artificial intelligence within your business Bad data Pitfalls One problem we often come across is bad quality data,7,3,1,TRAIN
211,This problem derails limits and complicates many machine learning and AI projects,2,1,1,TRAIN
212,Bad or “dirty”data can mean fields are missing that there are duplicates in the data or that it’s outdated data contains spelling or punctuation errors and is generally incorrect,3,5,1,TRAIN
213,As we are moving toward more data driven decision making in enterprises it’s absolutely essential to have clean data,2,1,1,TRAIN
214,Outcomes derived from bad data will lead to incorrect decision making,3,1,1,TRAIN
215,Recommendation To overcome incorrect decision making based on bad data we suggest the enterprise incorporate standardization of data monitoring of data cleaning of incoming data and a centralized control of data,8,4,1,TRAIN
216,Sponsorship Pitfalls When implementing an AI strategy it’s important that the right people such as department heads CxOs or managers support the project,7,0,0,TRAIN
217,Implementing AI through the organization can be a long process and without support of the right people there’s a higher probability that the project will fail,7,2,1,TRAIN
218,What you might see when this problem occurs is that your employees might not put enough time into problem definition and subject knowledge sharing,6,3,1,TRAIN
219,Recommendation Align the right people before you start in a “garage” concept,4,1,1,TRAIN
220,The key stakeholders should be identified and should bring input and willingness to the table,3,1,1,TRAIN
221,Create buy in and support with employees other stakeholders management and C suite,2,0,0,TRAIN
222,Lack of capabilities Pitfalls Many companies want to implement machine learning right off the bat,2,2,1,TRAIN
223,But to implement AI you need to look at two things the first is acquiring or outsourcing your own data science talent and the second is looking at your current IT infrastructure,4,4,1,TRAIN
224,If you choose the in house route you’re taking a more challenging route,2,1,1,TRAIN
225,This option can be very rewarding but it’s important to take in account that it will require more time to set up infrastructures pipelines and research,5,2,1,TRAIN
226,If you decide to take this route you’ll need to acquire the following skills in house — Researchers to create new solutions to your products — Project managers to keep the team on track — Domain experts who have knowledge about your products customers and the business environment surrounding the product — Data engineers and machine learning engineers who can scale the algorithms — Data analysts who can process the outcome — Statisticians to help ensure quality results — Software engineers to turn all you’ve created into something that can be used by the masses—be it your customers or your employees While these roles don’t all need to be filled by individual employees it’s essential to have all these skills in house,17,15,1,TRAIN
227,The second option is easier and quicker to implement,3,0,0,TRAIN
228,In this case you’d make use of the capabilities of an external party such as through the IBM Garage offering which can give you the ability to use these capabilities without having to set up a complete internal department,6,3,1,TRAIN
229,IBM Services 13 Recommendation Before starting an AI project you should evaluate the capabilities you currently have inhouse and then define the cost you’ll occur acquiring the capabilities needed to close any gaps,4,5,1,TRAIN
230,Then you can define whether you want to hire these capabilities internally or use an external experienced resource to access the required capabilities,4,2,1,TRAIN
231,Scalability Pitfalls To properly scale the correct architecture integration and employees that know how to use them need be in place,4,2,1,TRAIN
232,Many data scientists believe that the research and development R D of a data science project is similar to a scaled IT implementation yet the two are very different,6,2,1,TRAIN
233,Also because there is increasing enterprise demand for AI organizations want to analyze large amounts of data,1,2,1,TRAIN
234,This can require quite a bit of time to train an algorithm—days or even weeks depending on the amount of data involved,4,2,1,TRAIN
235,We still encounter data scientists trying to perform this function on their laptops 9 Recommendation Develop a plan to set up the correct AI architecture a platform to deploy to a data integration strategy and properly trained data scientists,10,3,1,TRAIN
236,Not enough available data Pitfalls Data availability depends on the company and on how it stores data,2,1,1,TRAIN
237,Some organizations have the data but don’t have it readily available,0,0,0,TRAIN
238,Large corporations are challenged to locate and keep track of the right data,2,2,1,TRAIN
239,Smaller companies may be challenged by the amount of data they produce,2,2,1,TRAIN
240,Recommendation Not all problems need machine learning and AI,3,1,1,TRAIN
241,If you find yourself in a situation where you don’t have enough data you should carefully consider if you should launch your product using machine learning,5,3,1,TRAIN
242,If you choose that option but don’t have enough data you can overcome the problem by acquiring external data or by using simpler models,4,2,1,TRAIN
243,Unlabeled data Pitfalls A common problem when implementing AI is data that’s not classified by humans or machines which leaves you unable to train the system in the case of a supervised algorithm,3,4,1,TRAIN
244,For instance if you wanted to predict fraud but the historical fraudulent cases weren’t labelled it would be impossible for the algorithm to map input to outputs,6,3,1,TRAIN
245,Recommendation In this case define what data you’ll need to run a sound model,3,2,1,TRAIN
246,This data will then need to be labeled—which can be expensive—or you can use algorithms to accomplish this task,3,1,1,TRAIN
247,It’s a more advanced technique but you can use reinforcement learning or semi supervised models,2,3,1,TRAIN
248,Your data scientist might know which approach is best,2,1,1,TRAIN
249,Explainable results Pitfalls In many cases the business wants and needs to know why specific outcomes occur,1,3,1,TRAIN
250,This is in line with one of IBMs principles for ethical use of AI is AI systems must be transparent and explainable,2,2,1,TRAIN
251,Depending on what kind of algorithm is used an AI can’t show exactly which variables brought it to a given conclusion,3,4,1,TRAIN
252,We call these black box algorithms,1,1,1,TRAIN
253,While they sometimes may perform better they don’t give a lot of explanation,2,2,1,TRAIN
254,For example you might have an algorithm that defines whether an applicant gets a loan,2,2,1,TRAIN
255,According to European law in some countries if you deny the applicant you need to explain why you did so,4,2,1,TRAIN
256,Recommendation There are several new algorithms that help explain what happens in the black box models such as Local Interpretable Model Agnostic LIME 10 But this doesn’t solve the problem in all cases,5,2,1,TRAIN
257,You should therefore define what you’re going to use the model for,2,1,1,TRAIN
258,If the model needs to explain precisely why it came to a certain conclusion your data scientists should consider other models that provide the specific information required,4,5,1,TRAIN
259,Ethics and AI should go hand in hand,1,1,1,TRAIN
260,14 Beyond the hype A guide to understanding and successfully implementing artificial intelligence within your business Summary AI has the potential to bring a lot of value to your company if thought through and implemented properly,8,3,1,TRAIN
261,The authors of this paper hope we’ve made it clear how you can achieve this goal,3,1,1,TRAIN
262,We’ve discussed what AI is what it can do for your organization how it should be implemented and what pitfalls you should avoid once you’ve decided to implement AI,2,4,1,TRAIN
